Gender,Home_Language,Father_occupation,Father_qualification,Family_size,School_distance_km,Age,Education,Means_To_School,Grade
1,0,1,1,4,1,12,2,3,3
0,2,4,0,1,0.5,12,0,3,4
0,2,0,0,2,1,13,3,3,4
1,2,3,2,2,1,13,0,1,2
0,0,5,0,0,0.5,8,0,0,5
0,2,3,2,2,3,12,0,3,2
1,2,2,0,2,6,10,0,3,1
0,2,2,3,2,0.5,9,0,3,5
0,0,4,0,2,0.5,9,0,3,0
0,2,4,0,5,2,12,1,2,0
0,2,5,0,2,0.5,13,0,3,5
0,2,1,1,2,1,13,3,3,0
0,2,3,2,4,3,12,0,0,2
0,2,2,2,2,4,16,2,3,0
1,2,0,0,2,4,12,0,0,1
0,0,3,2,2,1,12,0,3,1
1,2,5,0,0,5,16,2,3,1
0,2,4,0,0,3,16,0,2,0
0,2,4,2,1,6,11,0,3,4
1,2,2,2,1,0.5,12,0,2,2
1,1,2,0,2,9,18,0,3,0
1,1,1,0,2,7,10,0,2,0
0,2,3,0,2,3,13,0,3,4
0,2,2,2,0,3,13,0,2,1
1,0,5,0,5,12,13,0,3,1
1,2,5,1,4,1,12,0,2,3
0,2,0,0,2,2,12,2,0,4
1,2,2,3,2,3,13,3,3,5
1,2,5,0,2,4,12,0,3,0
0,2,4,0,5,0.5,13,0,0,3
1,2,2,2,2,1,12,0,3,3
1,2,4,3,2,3,12,3,2,4
1,2,1,0,0,3,12,0,2,5
1,2,3,3,2,4,16,2,3,3
0,0,3,0,2,3,13,0,3,5
1,2,0,2,2,5,13,0,2,4
0,2,4,2,2,3,13,0,3,5
1,2,5,0,2,1,10,3,0,4
0,2,1,1,2,4,9,2,2,3
0,2,1,2,2,2,15,0,3,3
0,2,2,2,2,3,9,3,1,0
1,2,4,0,1,0.5,13,0,3,2
1,2,1,0,2,4,13,3,3,2
1,2,3,0,0,1,12,1,3,3
1,2,1,3,4,4,13,0,0,4
0,2,0,0,4,6,12,0,2,1
0,2,4,0,5,2,12,2,3,1
0,2,1,2,2,9,7,0,2,4
1,2,4,0,2,2,12,3,3,5
0,2,1,0,2,3,12,2,3,4
0,2,4,0,1,3,13,0,3,5
1,2,2,0,2,3,12,0,0,2
0,2,2,0,2,0.5,13,0,3,5
1,0,1,3,1,2,17,0,3,2
0,0,1,2,0,3,12,0,3,0
0,2,2,0,3,2,17,3,1,0
0,2,5,2,4,2,13,3,3,1
0,2,3,3,0,2,12,0,3,4
0,2,4,0,0,3,12,1,3,0
0,0,0,2,2,2,12,0,3,2
1,2,5,3,0,0.5,8,0,1,1
1,2,2,0,2,2,13,0,3,3
0,2,0,2,0,7,14,2,0,0
1,2,3,0,2,2,7,0,0,1
0,2,3,0,2,3,13,2,3,3
1,2,2,0,2,1,16,0,2,3
1,2,2,0,4,4,9,3,3,4
0,2,1,0,2,2,13,0,0,2
0,2,2,0,1,7,12,3,3,1
1,2,2,0,2,2,12,0,3,5
0,2,3,0,2,0.5,13,2,2,0
0,2,1,0,2,4,12,1,3,3
1,2,0,0,3,3,12,0,0,1
1,2,4,2,2,4,9,0,3,4
0,2,1,0,4,3,13,3,3,4
0,2,3,0,2,2,12,0,3,1
1,2,0,3,2,4,13,0,3,1
1,2,4,3,2,1,13,3,0,0
1,2,1,3,2,3,7,0,3,2
0,2,2,0,2,8,8,3,3,3
0,1,1,0,1,3,18,1,2,2
1,0,4,0,2,7,9,2,3,2
0,2,4,0,2,4,13,3,3,2
1,1,4,0,2,1,11,0,0,0
1,2,3,0,2,2,13,0,0,1
1,2,4,2,0,2,12,0,3,0
0,2,5,0,2,7,13,3,3,1
1,2,0,1,2,5,13,1,3,2
0,2,4,2,4,1,12,0,0,2
0,0,3,0,2,5,16,3,2,3
1,2,0,0,2,2,17,3,3,5
1,0,2,0,1,0.5,13,3,0,0
1,0,4,2,0,2,13,0,3,4
1,2,2,3,2,0.5,13,0,3,2
1,2,3,0,2,1,11,3,3,3
1,1,0,0,2,2,12,0,3,3
1,2,0,0,4,1,13,3,3,5
1,2,2,0,2,1,16,2,3,0
1,2,4,2,1,2,18,3,3,4
1,2,2,2,4,0.5,17,3,0,1
1,2,3,0,2,0.5,14,3,3,5
1,0,2,0,5,1,12,2,2,5
1,2,0,2,2,0.5,10,2,3,4
1,2,5,0,2,4,16,0,3,4
1,2,1,0,2,7,13,0,3,4
1,1,5,0,2,8,11,0,2,5
1,2,3,0,0,3,13,0,3,5
1,0,3,0,1,4,12,0,3,3
1,2,4,2,4,3,12,0,0,0
1,2,5,0,4,2,11,0,0,1
1,0,0,0,0,4,14,3,3,5
1,2,1,0,2,2,12,2,2,5
1,1,5,2,0,1,13,3,2,4
1,2,0,0,1,0.5,7,0,3,4
1,2,1,0,2,3,13,0,3,1
1,2,1,2,2,0.5,8,2,3,4
1,2,2,0,0,3,13,3,3,0
1,2,4,2,4,0.5,12,3,3,0
1,2,3,2,0,4,11,0,3,3
1,2,0,0,4,4,13,3,0,4
1,2,0,0,3,2,13,3,3,2
1,1,1,0,2,3,13,2,3,3
1,0,1,0,0,7,13,1,0,2
1,0,4,0,1,1,9,3,3,4
1,0,2,0,0,1,12,3,0,4
1,2,4,0,2,4,16,2,3,4
1,2,3,0,2,3,18,3,0,5
1,1,1,1,2,6,13,0,0,2
1,1,5,3,2,2,16,3,3,1
1,0,4,2,2,7,13,3,0,0
1,2,2,0,2,3,13,0,3,4
1,2,2,0,2,4,8,3,3,2
1,0,1,0,2,5,12,3,3,5
1,2,1,1,0,0.5,13,2,3,0
1,2,3,0,4,3,12,3,3,5
1,2,5,0,2,1,14,0,3,1
0,0,1,3,4,1,13,3,3,4
0,2,2,0,2,2,13,3,3,0
0,2,2,0,2,3,14,3,3,1
0,2,5,3,0,4,17,3,0,0
0,2,3,2,2,0.5,7,0,3,2
1,2,4,1,0,5,12,0,3,0
1,2,0,0,2,0.5,12,2,0,1
0,2,3,1,2,4,13,0,3,2
0,2,0,3,4,4,13,0,3,0
1,2,1,0,2,4,13,3,2,4
0,2,2,0,0,2,12,0,0,2
1,2,3,0,2,9,13,2,3,2
0,2,2,2,2,1,9,3,0,3
0,2,4,0,0,6,18,3,0,1
1,2,1,0,4,4,9,2,2,5
1,2,1,0,2,0.5,14,0,3,0
0,2,2,2,2,0.5,12,3,0,4
1,2,2,0,2,3,15,3,3,0
0,2,0,2,2,1,12,0,1,0
0,2,4,1,2,4,17,0,1,3
1,2,3,3,2,4,11,3,3,3
1,2,0,0,2,3,17,0,3,0
0,2,5,2,0,4,15,0,0,4
0,2,5,0,2,10,8,3,3,0
0,2,1,2,2,1,18,0,3,5
0,2,1,2,2,1,12,3,3,4
0,2,1,0,0,8,13,3,3,0
1,2,4,0,4,4,12,0,0,3
0,2,2,3,0,3,13,0,3,5
1,2,0,0,2,1,12,3,2,1
0,2,3,0,4,4,15,2,2,5
0,1,1,2,2,3,15,0,3,1
0,2,5,0,0,0.5,12,3,3,5
1,1,2,2,4,0.5,13,0,3,4
1,2,1,0,2,2,11,3,3,3
1,2,3,0,2,3,13,3,3,1
0,2,1,0,2,3,7,3,3,1
1,2,2,0,2,5,8,3,3,3
0,2,1,1,2,3,12,0,3,5
1,1,4,0,0,1,13,3,2,1
0,2,4,0,2,3,10,0,3,2
0,0,2,0,2,2,9,0,3,5
1,2,2,0,0,2,13,0,3,0
1,2,0,0,4,1,13,0,2,4
1,2,3,0,1,2,13,3,3,1
1,2,2,0,2,4,12,0,3,4
0,2,2,3,4,2,13,0,3,0
1,2,3,2,3,6,17,3,2,4
1,2,4,2,1,12,14,0,3,3
1,1,5,2,5,10,17,0,2,1
1,2,5,0,5,4,18,0,3,2
1,1,1,3,0,2,11,0,0,0
0,2,2,2,1,8,10,0,3,5
1,2,3,0,2,6,13,3,0,3
1,2,5,0,2,4,14,0,0,3
0,2,1,2,2,5,8,0,3,2
0,0,5,0,2,3,10,0,2,5
0,2,4,3,2,2,18,0,0,3
1,2,4,0,2,4,13,1,0,2
1,2,5,0,4,6,13,0,0,3
0,2,0,1,2,0.5,14,3,3,1
0,2,0,1,0,7,8,3,0,5
0,2,1,0,2,7,13,3,2,4
1,2,3,1,0,1,7,0,3,1
1,2,0,2,5,3,12,3,3,0
0,0,4,0,4,2,15,2,3,0
1,2,5,0,2,2,12,0,2,1
1,2,5,2,1,3,13,1,3,2
1,2,1,2,2,3,12,3,0,2
0,2,3,0,2,2,12,3,0,2
1,2,0,0,2,6,18,0,3,4
0,2,1,0,0,3,7,3,1,4
1,2,4,2,2,6,13,1,3,0
